,2020-11-05 AM
NYT,"Continue reading the main story Skip to content Skip to site index  U.S. International Canada Español 中文 Today’s Paper    World U.S. Politics N.Y. Business Opinion Tech Science Health Sports Arts Books Style Food Travel Magazine T Magazine Real Estate Video World U.S. Politics N.Y. Business Opinion Tech Science Health Sports Arts Books Style Food Travel Magazine T Magazine Real Estate Video With New Tallies Expected in Key States, Biden Narrows Gap in Georgia

 Live Updates  See Georgia results ›   See Georgia results ›   See Arizona results ›   See Arizona results ›   See Arizona results ›   See Arizona results ›   Read more ›  See Arizona results ›   See Georgia results ›   President    253    253  Joseph R. Biden Jr.Biden    214  Donald J. TrumpTrump    71  remaining     270to win                 Joseph R. Biden Jr.Biden     Donald J. TrumpTrump      72,221,299 votes (50.4%)   68,475,269 votes (47.8%)    214    Senate    48    48  DemocratsDem.*   Gained 1 seat+1 seat    48  RepublicansRep.   Lost 1 seat–1 seat    4  remaining     50                 DemocratsDem.*   Gained 1 seat+1 seat     RepublicansRep.   Lost 1 seat-1 seat      35 DemocratsDem. not up for election   30 RepublicansRep. not up for election     Gained 1 seat+1 seat   Lost 1 seat—1 seat     Flipped 2 seats (+1 net gain)   Flipped 1 seat    48    House    208    208  DemocratsDem.   Lost 5 seats–5 seats    190  RepublicansRep.   Gained 6 seats+6 seats    37  remaining     218for control                 DemocratsDem.   Lost 5 seats-5 seats     RepublicansRep.   Gained 6 seats+6 seats      Lost 5 seats—5 seats   Gained 6 seats+6 seats     67,526,813 votes (49.6%)   66,604,540 votes (48.9%)     Flipped 2 seats   Flipped 8 seats (+6 net gain)    190     253    253  Joseph R. Biden Jr.Biden    214  Donald J. TrumpTrump    71  remaining     270to win                 Joseph R. Biden Jr.Biden     Donald J. TrumpTrump      72,221,299 votes (50.4%)   68,475,269 votes (47.8%)    214       See full presidential results      townships"""":null}]}        Biden    Win    Flip     Trump    Win    Flip     Reporting votes     Percentages are estimates of how much vote has been counted.         Source: N.E.P.    Key States Mich. › Wis. › Fla. › Ga. › N.C. › Pa. › Ariz. › Nev. › Dozens of Electoral Votes Still Out as Battlegrounds Keep Tallying After victories in Michigan and Wisconsin	 Joe Biden gained ground on President Trump in Georgia and Pennsylvania	 but his lead diminished in Arizona.Protests were scattered across the country Wednesday night. States yet to declare a winner will release more results Thursday.The Trump campaign filed a barrage of lawsuits challenging the validity of the count. Here’s the latest. President Senate House Photos See full results       West Chester	 Pa.      Michelle V. Agins/The New York Times     Seattle     Grant Hindsley for The New York Times     Detroit     Brittany Greeson for The New York Times     Minneapolis     Kerem Yucel/AFP — Getty Images     Philadelphia     Kriston Jae Bethel for The New York Times      Phoenix      Matt York/Associated Press     Manhattan     Juan Arredondo for The New York Times     Atlanta     Audra Melton for The New York Times     Washington     Amr Alfiky/The New York Times             West Chester	 Pa.      Michelle V. Agins/The New York Times     Seattle     Grant Hindsley for The New York Times     Detroit     Brittany Greeson for The New York Times     Minneapolis     Kerem Yucel/AFP — Getty Images     Philadelphia     Kriston Jae Bethel for The New York Times      Phoenix      Matt York/Associated Press     Manhattan     Juan Arredondo for The New York Times     Atlanta     Audra Melton for The New York Times     Washington     Amr Alfiky/The New York Times       Live .css-11f6h48{margin-right:5px;}.css-11f6h48:hover{border-bottom:1px solid #e2e2e2;}Analysis: Biden appears to have an edge in the votes that have yet to be counted..css-m7dmkp{font-family:nyt-franklin	helvetica	arial	sans-serif;color:#d0021b;font-weight:600;font-size:0.75rem;line-height:0.8125rem;display:inline-block;}24m ago In photos: As counting continues	 some Americans take to the streets.1h ago Nevada	 a surprise battleground	 plans to release more election results this afternoon.1h ago When to expect new information today.1h ago Key States Ga. › Pa. › Ariz. › Nev. ›  Senate    48    48  DemocratsDem.*   Gained 1 seat+1 seat    48  RepublicansRep.   Lost 1 seat–1 seat    4  remaining     50                 DemocratsDem.*   Gained 1 seat+1 seat     RepublicansRep.   Lost 1 seat-1 seat      35 DemocratsDem. not up for election   30 RepublicansRep. not up for election     Gained 1 seat+1 seat   Lost 1 seat—1 seat     Flipped 2 seats (+1 net gain)   Flipped 1 seat    48    House    208    208  DemocratsDem.   Lost 5 seats–5 seats    190  RepublicansRep.   Gained 6 seats+6 seats    37  remaining     218for control                 DemocratsDem.   Lost 5 seats-5 seats     RepublicansRep.   Gained 6 seats+6 seats      Lost 5 seats—5 seats   Gained 6 seats+6 seats     67	526	813 votes (49.6%)   66	604	540 votes (48.9%)     Flipped 2 seats   Flipped 8 seats (+6 net gain)    190    .st0{fill:#f4564a}.st1{fill:#fff}.st2{fill:#2b8ad8}                           President   Michigan   Arizona   Nevada   Senate   House   Exit Polls    .st0{fill:#f4564a}.st1{fill:#fff}.st2{fill:#2b8ad8}                           President   Michigan   Arizona   Nevada   Senate   House   Biden Appears to Hold Edge in the Key Votes Left to Be Counted The tabulations continue in the states too close to call	 but some things are becoming clearer. Protests Over Ballot Tallies Sweep Through U.S. Cities Protesters marched in several cities against President Trump. Some of his supporters gathered near a Phoenix building where votes were being counted. The Justice Department said it could send armed officers to ballot-counting locations. What are the remaining routes to victory? Use our interactive diagram to see. Trump Turns to the Courts The moves signaled President Trump’s determination to make good on his longstanding threats to upend any result not in his favor. Analysis: Win or Lose	 Trump Will Remain a Force Even if he is defeated	 he has made clear that he will not shrink from the scene. The Mood Inside Trump Headquarters After Fox Called Arizona for Biden The Associated Press also called Arizona for Joe Biden. The Times and CNN have not declared a victor there yet. Ritchie Torres and Mondaire Jones will become the first gay Black members of Congress. Listen to ‘The Daily’ Joe Biden won Michigan and Wisconsin and seems to be well placed in other key states. In Ascendant Night for Congressional Republicans	 Women Led the Way Republicans were on track to have the highest number of women ever to serve in their House conference. The Polls Underestimated Trump Again. Nobody Agrees on Why. No matter who wins	 the industry failed to fully account for the missteps that led it to miscalculate Donald Trump’s support four years ago. Tight Georgia Race Comes Down to Metro Atlanta President Trump held a narrow lead in the state as votes were counted in Atlanta	 where Joe Biden has made big gains in support. Pennsylvania Remains Up for Grabs Both sides are maneuvering for a possible ballot-by-ballot legal fight if the race is extremely close. Could Omaha swing the race? In 2020	 nothing is impossible. 
Florida Cuban-Americanareas back Trump. ›"" Georgia Biden gains inAtlanta area. ›"" North Carolina"" Democratic countiesmove right. ›"" Texas"" Hispanic votersgive Trump the win. › Wisconsin Cities and suburbshelp flip the state. ›""	"
"			 U.S. Tops 100",000 New Cases in a Day for the First TimeThe total count of new infections was at least 107
WaPo,"Skip to main content Election 2020 Coronavirus Race & Reckoning Road to Recovery Opinions Investigations Tech World D.C., Md. & Va. Sports Arts & Entertainment Democracy Dies in Darkness Election 2020 As Biden leads in electoral votes, Trump team launches legal blitz Senate House View details                                                    Full resultsarrow-right LIVE UPDATESAccess to these updates is free Race narrows in Arizona, Georgia 10:48AMAnalysis: More states now have paper trails to verify votes were correctly counted 10:19AMAs officials tally legally cast ballots, Trump tweets, ‘STOP THE COUNT’ 10:17AMTrump compared to a ‘late Roman emperor’ as contested U.S. election batters America’s global image 9:57AMPro-Trump rally overshadowed by group seeking to tally every vote in Philadelphia Trump campaign mounts challenges in four states Elise Viebeck Robert Barnes Tom Hamburger Rosalind S. Helderman How a Wisconsin recount would work Will today be the tipping point? It’s possible. But so is an electoral-college tie. Jacqueline Alemany Trump and his allies boost bogus conspiracy theories in a bid to undermine vote count Isaac Stanley-Becker Tony Romm Elizabeth Dwoskin Drew Harwell Where votes are still being counted Harry Stevens Adrian Blanco Dan Keating More results from Pennsylvania Analysis: How Trump or Biden could win, mapped Analysis: Trump’s path to victory runs through 2 states he’s poised to lose  Who won Arizona? Why the call differs by media organization. Elahe Izadi Arizona election officials rebut claims that ballots marked with Sharpies were disqualified  Miami-Dade Hispanics helped sink Biden in Florida Beth Reinhard Lori Rozsa  ‘Make liberals cry again’ became battle hymn of the Republicans under Trump Monica Hesse Democrats’ ambitious agenda for 2021 runs into unexpected obstacle: McConnell’s resilience Erica Werner Election reveals deeper divides between red and blue America Philip Rucker Robert Costa States to watchHere’s where the results stand in key states and our estimates of the ballots counted so far. View details. Press Enter to skip to end of carousel Pennsylvania Full Pa. results → Arizona Full Ariz. results → Georgia Full Ga. results → North Carolina Full N.C. results → Nevada Full Nev. results → Texas Full Tex. results → Wisconsin Full Wis. results → Michigan Full Mich. results → Trump’s Twitter feed is covered in warning labels Cat Zakrzewski  The history of pollsters blowing it decades before Trump vs. Biden Gillian Brockell Protesters demand entrance to election site, Trump campaign asks court to halt counting as Michigan is called for Biden Tom Hamburger Mark Berman Counting in Philadelphia goes on calmly amid the storm outside Biden, Warner wins show Democrats still dominate in Virginia Gregory S. Schneider Laura Vozzella Democrats had hoped to pick up a half-dozen state legislative chambers. They may get none. Amber Phillips Opinions  If Biden wins, he’ll inherit a mission impossible Ruth Marcus  The final implosion of Trump’s Fox News propagandists Greg Sargent  Whether he goes or stays, Trump has done damage that can’t be forgiven Colbert I. King  America’s friends embarrassed it still insisting Trumpism a fluke, not personality trait Alexandra Petri  Joe Biden ran a historic race Jennifer Rubin  Surprise! The election is unfolding as predicted. Editorial Board  I was in the 2000 ‘Brooks Brothers Riot.’ Trump supporters are way out of line.  California voters see what lawmakers can’t Megan McArdle Coronavirus 18 states report record number of patient hospitalizations Antonia Noori Farzan Karla Adam James McAuley Paulina Villegas U.S. coronavirus cases exceed 100,000 in one day for the first time Company owned by Jared Kushner files to evict hundreds of families as moratoriums expire Jonathan O'Connell Aaron Gregg Anu Narayanswamy ESPN announces hundreds of layoffs as pandemic, cord-cutting upend sports television Ben Strauss  Denmark, key fur producer, to kill all its minks in effort to contain coronavirus mutation that has infected workers Loveday Morris When coffee smells like gasoline: Covid-19 isn’t just stealing senses — it may be warping them Allyson Chiu  Kosovo president resigns to face war crimes charges in The Hague Michael Birnbaum  Being the SEC’s first Black female athletic director brings happiness tinged with sadness Chuck Culpepper Stocks build on post-election rally as presidential race inches to a finish  Taylor Telford Biden is on a path toward victory after wins in Michigan and Wisconsin Apple Podcasts, Google Podcasts, Stitcher Guide to the Pandemic Places with highest daily reported cases per capitaSeven-day average of daily new reported cases per 100,000 residents Track the spread: Across the U.S. Worldwide Road to Recovery A beach bar on the Florida-Alabama border reclaims its Mullet Toss — masks optional Hannah Denham A top baseball prospect’s Southern California  scholarship was lost to the pandemic The coronavirus keeps most London theaters dark, while performers stock grocery shelves Karla Adam William Booth Your Life at Home New movies to stream this week: ‘Kindred,’ ‘Prospect’ and more Michael O'Sullivan The best things to do — virtually and in person — while quarantined in the D.C. area When coffee smells like gasoline: Covid isn’t just stealing senses — it may be warping them Allyson Chiu  Full coverage and resources  Asked and answered: What to know about coronavirus  FAQ: What to know about masks and covid-19  Sign up to get our Coronavirus Updates newsletter Morning MixStories from all over  Georgia DA criticized for handling of Ahmaud Arbery investigation ousted by voters Jaclyn Peiser  Driven by unfounded ‘SharpieGate’ rumor, pro-Trump protesters mass outside Arizona vote-counting center Katie Shepherd Hannah Knowles  Bernie Sanders’s election-night predictions were eerily correct: ‘He called it WORD for WORD’ Andrea Salcedo  A Muslim millennial was elected the country’s first out nonbinary lawmaker — in Oklahoma Teo Armus  Artist Sougwen Chung wanted collaborators. So she designed and built her own AI robots. Sarah L. Kaufman  Pop-up greenhouses, yurts and reptile heat lamps: Restaurants are getting creative to survive the winter Fritz Hahn  15 kitchen gifts for cooks into bread-baking, pasta-making or canning  Why ‘The Craft: Legacy’ director decided to make a witch movie for woke teens Helena Andrews-Dyer How Wisconsin and Michigan could deliver Biden the presidency  Today’s Print Stories  e-Replica Edition  Share news tips with us confidentially  Washington Post Apps Politics Late-night TV hosts express shock at close election: ‘I feel like I overestimated the American people’ Emily Yahr More states now have paper trails to verify votes were correctly counted Joseph Marks GOP bolstered as Democrats falter in state legislative races Tim Craig Latest clash between religious beliefs and gay rights divides justices Robert Barnes World European paper compares Trump to ‘late Roman emperor’ Simon Denyer Rick Noack  Australia has almost eliminated the coronavirus — by putting faith in science Tropical Storm Eta brings severe floods to Central America  Matthew Cappucci We asked Kazakh celebrities what they think of ‘Borat.’ The verdict was less than ‘very nice.’ Isabelle Khurshudyan National  Gratitude, fear, stress: American prayer on an unclear day-after Michelle Boorstein  Trump administration taps mainstream climate scientist to run key climate review Jason Samenow Andrew Freedman  The day that never ended Dan Zak Clyde McGrady Abortion is no longer a right in Louisiana. Here’s exactly what that means. Oregon decriminalizes possession of hard drugs Cleve R. Wootson Jr. Jaclyn Peiser D.C., Md. & Va. Fairfax County police chief to step down in February Justin Jouvenal Spanberger declares victory over Freitas in Virginia Meagan Flynn Rep. Elaine Luria wins second term Results from Virginia Results from Maryland  D.C. streets tense but calm as ballots are counted Marissa J. Lang Emily Davies Michael E. Ruane How Henderson won a D.C. Council seat: Outreach to women, moderate police views and a positive campaign Julie Zauzmer Fenit Nirappil Results from D.C. Montgomery executive wants new restrictions  Rebecca Tan Dana Hedgpeth Michael Brice-Saddler Capital Weather Gang D.C.-area forecast: Beautifully dry and mild weather into next week Known coronavirus deaths and cases Going Out Guide  Pop-up greenhouses, yurts and reptile heat lamps: Restaurants are getting creative to survive the winter Fritz Hahn The best things to do — virtually and in person — while quarantined in the D.C. area GALA Theatre is a covid-19 ‘guinea pig’: first District theater to resume live indoor performance Thomas Floyd Real Estate 30-year mortgage rate, for the 12th time this year, falls to record low Streamlining a first-time home purchase in a fast-moving market Popular cities for millennial apartment renters  Business & Technology  Katie Stevo wants to walk in Elon Musk and Steve Jobs’s footsteps. First, she’ll decode being a college freshman. Taylor Telford  Xbox Series X and S review and comparison: Next-gen feels awfully familiar Gene Park  The pandemic is amplifying tensions between working moms and child-free colleagues Karla L. Miller Consumers are — mostly — putting spending on hold while they wait for election results Abha Bhattarai Health & Science  Combating climate change hangs in the balance along with the presidential election Dino Grandoni  My kids are on screens more than ever during the pandemic. Here’s why I’m not panicking.  As U.S. leaves Paris accord, climate policy hangs on election outcome Brady Dennis Juliet Eilperin Dino Grandoni  Controversial Alzheimer’s drug gets boost from FDA staff Laurie McGinley Sports Ted Leonsis has lost three friends to suicide. He doesn’t want to lose any more. Barry Svrluga ESPN announces hundreds of layoffs as pandemic, cord-cutting upend sports television Ben Strauss  Elite athletes know better than anyone how to win. They can also show us how to lose. Sally Jenkins Fox Sports college football pregame show hosts will miss Saturday’s broadcast Matt Bonesteel Ron Rivera’s teams have a history of strong finishes. Washington has a shot at one. Les Carpenter An NFL player got possibly life-saving advice for his wife while getting treatment for an injury Des Bieler Virginia’s game against Louisville postponed after coronavirus cases among Cardinals Gene Wang Lions’ Matthew Stafford, multiple 49ers offensive players placed on teams’ covid-19 lists Mark Maske Lifestyle  Election night TV was high anxiety and Trump taking us to a new low. We can’t say we weren’t warned. Hank Stuever  How newspaper front pages treated an Election Day with no clear winner Marisa Iati  Shopping with the pros: Annie Elliott shares her favorite items from Room & Board Mari-Jane Williams Advice Carolyn Hax: Bride’s mom has a ‘toxic’ attitude about her daughter’s weight Ask Amy: Woman wonders if family dog is racist Miss Manners: Handyman can’t do it all — at least not well The LilyElevating stories about women  She’s a combat veteran on a motorcycle. Could MJ Hegar flip a Senate seat in Texas?  Election stress disorder is a real thing. Here’s what you can do about it.  Women represent only one-third of expert voices in coronavirus media coverage, study shows  Voting for the first time? We break it down into 3 simple steps. Arts & Entertainment  How America is distracting itself online: Christmas videos, a celebrity puppy, hexagons and more Travis M. Andrews  MSNBC’s Steve Kornacki keeps going. And going. And going. Jeremy Barr  Audio adaptation of Beltway drama ‘Kings’ tantalizes but ultimately falls flat without a stage Shame begets violence — and love pays the price Photographer who captured rock legends looks back on a charmed life FoodIncluding recipes and tips from Voraciously  Shareable recipes for socially distant gatherings, including empanadas, slab pies and quesadillas G. Daniela Galarza  Food staff answers your questions Joe Yonan Ann Maloney Matt Brooks Olga Massov Becky Krystal G. Daniela Galarza Tim Carman Emily Heil Mary Beth Albright Kari Sonde  This golden, buttery triple-garlic bread is the dinner side that deserves to be a star Becky Krystal  A guide to lentils: How to choose and use the tiny protein-packed powerhouses Becky Krystal TravelIncluding news and tips from By The Way  7 private islands you can actually rent (even if you’re not a Kardashian) Shannon McMahon  How to tell if your airline seat, hotel room or rental car is clean Christopher Elliott  Where can Americans travel to in the Caribbean? Natalie B. Compton Shannon McMahon  These furloughed flight attendants used their final trips to say emotional farewells Natalie B. Compton commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing Public Relations Careers Diversity & Inclusion Newspaper in Education Today's Paper WP BrandStudio Events Policies & Standards Home Delivery Digital Subscription Gift Subscriptions Mobile & Apps Newsletters & Alerts Washington Post Live Reprints & Permissions Post Store Books & eBooks e-Replica Contact the Newsroom Contact Customer Care Reader Representative Advertise Licensing & Syndication Request a Correction Send a News Tip Digital Products Terms of Sale Print Products Terms of Sale Terms of Service Privacy Policy Submissions & Discussion Policy RSS Terms of Service Ad Choices washingtonpost.com washingtonpost.com Contact the Newsroom Contact Customer Care Request a Correction Send a News Tip Download the Washington Post App Policies & Standards Terms of Service Privacy Policy Print Products Terms of Sale Digital Products Terms of Sale Submissions & Discussion Policy RSS Terms of Service Ad Choices"
