,2020-11-08 AM
NYT,"Continue reading the main story Skip to content Skip to site index  U.S. International Canada Español 中文 Today’s Paper    World U.S. Politics N.Y. Business Opinion Tech Science Health Sports Arts Books Style Food Travel Magazine T Magazine Real Estate Video World U.S. Politics N.Y. Business Opinion Tech Science Health Sports Arts Books Style Food Travel Magazine T Magazine Real Estate Video How Biden Won the Presidency He Bet on a Sober Message, Not a Call for Sweeping Change Live Updates  See Georgia results ›   See Georgia results ›   See Pennsylvania results ›  Here’s how it will work › Here’s where he actually stands ›  President    279    279  Joseph R. Biden Jr.Biden WinnerWinner    214  Donald J. TrumpTrump    45  remaining     270to win                 Joseph R. Biden Jr.Biden Winner     Donald J. TrumpTrump      74,051,261 votes (50.4%)   70,320,795 votes (47.8%)    214    Senate    48    48  DemocratsDem.*   Gained 1 seat+1 seat    48  RepublicansRep.   Lost 1 seat–1 seat    4  remaining     50                 DemocratsDem.*   Gained 1 seat+1 seat     RepublicansRep.   Lost 1 seat-1 seat      35 DemocratsDem. not up for election   30 RepublicansRep. not up for election     Gained 1 seat+1 seat   Lost 1 seat—1 seat     Flipped 2 seats (+1 net gain)   Flipped 1 seat    48    House    215    215  DemocratsDem.   Lost 4 seats–4 seats    196  RepublicansRep.   Gained 5 seats+5 seats    24  remaining     218for control                 DemocratsDem.   Lost 4 seats-4 seats     RepublicansRep.   Gained 5 seats+5 seats      Lost 4 seats—4 seats   Gained 5 seats+5 seats     71,157,214 votes (49.9%)   69,236,176 votes (48.6%)     Flipped 3 seats   Flipped 8 seats (+5 net gain)    196     279    279  Joseph R. Biden Jr.Biden WinnerWinner    214  Donald J. TrumpTrump    45  remaining     270to win                 Joseph R. Biden Jr.Biden Winner     Donald J. TrumpTrump      74,051,261 votes (50.4%)   70,320,795 votes (47.8%)    214       See full presidential results     Joe Biden set a tone that was very different from that of President Trump. Biden Could Roll Back Trump Agenda With Blitz of Executive Actions In his first hours as president	 Joe Biden plans to establish a pandemic testing board and announce that the U.S. will rejoin the Paris climate accord. ‘A Long Time Coming’: Black Women Celebrate Harris’s Ascension Many rejoiced and saw Kamala Harris’ achievement as a particularly poignant reminder to Black girls that anything is possible. Kamala Harris’s ancestral village in India rejoiced	 but many wondered what changes may come. A Rollicking N.Y.C. Celebration for Biden’s Win	 Well Into the Night People cheered	 danced	 broke out champagne and honked horns in the city	 which is President Trump’s hometown but had turned on him.  Analysis: Dancing in the Streets for Joe Biden People don’t usually have spontaneous dance parties for Joe Biden. But defeating President Trump changed all that. Denial	 and Resignation	 From Trump and a Handful of Aides Aides said President Trump had no plans to immediately deliver the kind of concession speech that has become traditional. Democracy Worked This Year. But It Is Under Threat. America’s pandemic election was a remarkable	 unlikely feat — conducted under assault from its president.  For 9 of 10 Voters	 Protests Over Police Violence Played Role in Their Choice About a fifth of all voters said the protests were the single most important factor in their decision at the ballot box	 according to a new survey. Georgia	 From Reliably Republican to Political Ground Zero Joe Biden has a narrow lead in Georgia	 and two runoffs there will determine control of the Senate. Are the Democrats’ gains an aberration or a shift? How Biden Flipped Pennsylvania and Won the Election As eastern counties shifted left	 Joe Biden was propelled into victory in a state that President Trump narrowly won in 2016.  President Trump’s charges of fraud have riled supporters in Pennsylvania	 which mirrors a divided nation. With control of the Senate unclear	 liberal Democrats are lining up to press their agenda. Biden’s Team Prepares Plan to Fight Virus as Cases SurgeJoe Biden could announce a task force as early as Monday. Mink stoked worries about other animals that could harbor the virus. Here’s the latest. An Explanation for Some Covid-19 Deaths May Not Be Holding UpRecent studies have created doubts about a type of immune system response	 and suggest that treatments for it may not help. Norway Has a Must-See Team. Barely Anyone Can Watch It.Bodo/Glimt is on the cusp of its first championship	 but its golden year has played out in front of nearly empty stands. Attendance restrictions have left fans scrambling for even the smallest glimpse of their record-setting team. Linda Næsfeldt Making It WorkWhether you’re looking for a new role or trying to expand your professional network	 LinkedIn can help. And you can keep climbing the ladder from home. Fran Caballero Yes	 it is possible to buy a good used computer online. Here’s how. If you’re on edge	 try taking a controlled breath. The WeekenderThe anniversary of the International Space Station	 Sean Connery’s legacy	 outdoor dining in New York City and more. Did you follow the news this week? Take our quiz.  Opinion Anand GiridharadasBiden Can’t Be F.D.R. He Could Still Be L.B.J.He has the power to make transformational progress look like “C’mon Man” common sense. Will he use it? David W. BlightConfronting the Wreckage of TrumpismThe road to his presidency was decades long. The road back won’t be easy.  Tressie McMillan CottomThe Danger in White Moderates Setting Biden’s Agenda The Editorial BoardVictory for Joe Biden	 at Last Ross DouthatIs There a Trumpism After Trump? Nicholas KristofRepublicans and Democrats Agree: End the War on Drugs You Can Do This	 Donald Trump Michelle GoldbergWe Are Finally Getting Rid of Him Maureen DowdWe Hereby Dump Trump Caroline Randall WilliamsA Loving Chastisement for America Phil KlayThe Human Experience Will Not Be Quantified Kenji Aoki for The New York Times How Do You Know When Society Is About to Fall Apart?Meet the scholars who study civilizational collapse — and say that things could go very badly for contemporary society. This Election	 a Divided America Stands United on One TopicAll kinds of Americans have turned their backs on the destructive war on drugs.  Review: At Home With Our Ancient Cousins	 the NeanderthalsIn “Kindred	” Rebecca Wragg Sykes offers a complete new story about Neanderthals	 both how they lived and how they met their end.  Continue reading the main story Let us know what you think © 2020 The New York Times Company NYTCo Contact Us Work with us Advertise T Brand Studio Your Ad Choices Privacy Policy Terms of Service Terms of Sale Site Map Canada International Help Subscriptions"""
WaPo,"Skip to main content Election 2020 Coronavirus Race & Reckoning Road to Recovery Opinions Investigations Tech World D.C., Md. & Va. Sports Arts & Entertainment Democracy Dies in Darkness Election 2020 Biden presents starkly different vision for governing, vows to seek unity President-elect focuses on transition, says tackling the coronavirus is his first priority  LIVE UPDATES Biden plans immediate flurry of executive orders to reverse Trump policies 10:38AMGOP Sen. Blunt says it ‘seems unlikely’ that vote tallies showing Biden as winner will change in coming days 10:29AMTrump heads to his Virginia golf course for second day in a row 10:13AMRetropolis: Trump’s refusal to concede defies long tradition of classy speeches by losing candidates 9:40AMRep. Clyburn calls on Republican Party to ‘step up and help us preserve the integrity of this democracy’ 9:00AMAfter Biden’s win, parties gird for ferocious Senate runoffs in Georgia 8:59AMTrump has ‘every right’ to call for recounts but should not use language that undermines democracy, Romney says Biden and Harris triumph over Trump, but president does not concede Toluse Olorunnipa Annie Linskey Philip Rucker Harris set to become highest-ranking woman in U.S. history Biden plans immediate flurry of executive orders to reverse Trump policies Matt Viser Seung Min Kim Annie Linskey For Biden, victory means a title that has eluded him for three decades: President-elect  Trump supporters insist election isn’t over as they protest his loss in state capitals  Hannah Knowles Mark Berman Nick Miroff Voices from the fight: An oral history of the four-year movement to defeat Donald Trump  Philip Rucker Dan Balz Robert Costa Amy B Wang Cleve R. Wootson Jr.  Trump, a president obsessed with winning, spends the day refusing to admit his loss to Biden Ashley Parker Josh Dawsey  Trump’s bid to discredit election raises fear that he will undermine a smooth transfer of power David Nakamura ‘Welcome back’: America’s allies celebrate Biden win, hope for a U.S. return to global cooperation Paul Schemm Adam Taylor  Biden picked up the weight of the presidency and much of the nation set down its burdens Robin Givhan States to watchHere’s where the results stand in key states and our estimates of the ballots counted so far. View details. Press Enter to skip to end of carousel Arizona Full Ariz. results → Georgia Full Ga. results → Pennsylvania Full Pa. results → Nevada Full Nev. results → North Carolina Full N.C. results → Alaska Full Alaska results → After Biden win, parties gird for ferocious Senate runoff in Georgia Sean Sullivan Annie Linskey Chelsea Janes The world’s populists are losing their White House ally, but global Trumpism is far from over Anthony Faiola Terrence McCoy Loveday Morris  Celebrations erupt across the country as Biden declared winner of presidency Amy B Wang Meryl Kornfield Shayna Jacobs Susan Svrluga Marissa J. Lang Sights and sounds of Biden’s victory: ‘This is beautiful’  SNL gleefully slams ‘loser’ Trump’s defeat and celebrates Biden’s victory Emily Yahr Dave Chappelle's monologue about Trump and the election  Trump’s refusal to concede defies long tradition Gillian Brockell Biden’s victory seemed clear for more than a day. This is why the media held off on calling it. Paul Farhi Elahe Izadi Biden: Triumph, tragedy and the fate of the center Lillian Cunningham Apple Podcasts, Google Podcasts, Stitcher How Trump’s erratic behavior and failure on coronavirus doomed his reelection Ashley Parker Josh Dawsey Matt Viser Michael Scherer Opinions  Joe Biden is already showing he is the right president for the moment Karen Tumulty  Black lives matter — and so do Black votes Eugene Robinson  Black women saved the Democrats. Don’t make us do it again.  An open letter to the most important Republicans Jennifer Rubin  You’ve won the presidency, Democrats. That’s the main prize. Daniel Hemel  On to Georgia. And for Trump, it may be on to 2024. Hugh Hewitt  Kamala Harris invoked joy. Joe Biden asked for reconciliation. Can they get both? Alyssa Rosenberg  President-elect Biden has what America needs E.J. Dionne Jr. Coronavirus White House hit with fresh outbreak of coronavirus cases Anne Gearan Josh Dawsey Pandemic crisis deepens in U.S. as cases still surging Missy Ryan Biden’s ambitious plans to curb the coronavirus could face hurdles in a divided country and Congress Yasmeen Abutaleb Laurie McGinley  Road to Recovery Virtual schooling has largely forced moms, not dads, to quit work. It will hurt the economy for years. Heather Long Tropical Storm Eta nears Florida with flood threat, hurricane warnings Matthew Cappucci Andrew Freedman  New York Times correspondent and editor dies at 98 Harrison Smith The Affordable Care Act returns to the Supreme Court in the shadow of a pandemic Amy Goldstein  How election misinformation spread on LinkedIn, Pinterest and Nextdoor Cat Zakrzewski Rachel Lerman Guide to the Pandemic Places with highest daily reported cases per capitaSeven-day average of daily new reported cases per 100,000 residents Track the spread: Across the U.S. Worldwide Road to Recovery Virtual schooling has largely forced moms, not dads, to quit work. It will hurt the economy for years. Heather Long Shakespeare wrote ‘King Lear’ during a plague. What great work will emerge from this pandemic? Peter Marks A beach bar on the Florida-Alabama border reclaims its Mullet Toss — masks optional Hannah Denham Your Life at Home Mark Morris Dance Group steps online for its 40th-anniversary season Anying Guo How loving kindness meditation can help you deal with even the most annoying people Ever want to jump into your screensaver? These are the destinations behind them. Ryan Bacic  Full coverage and resources  Asked and answered: What to know about coronavirus  FAQ: What to know about masks and covid-19  Sign up to get our Coronavirus Updates newsletter  After the 2016 election, Agnes Martin’s paintings gave me solace. This time, they’re still an escape. Kelsey Ables  How loving kindness meditation can help you deal with even the most annoying people  How to get the most out of your supermarket butcher and fishmonger G. Daniela Galarza  6 squash soup and stew recipes for a big pot of comfort Becky Krystal SNL vs. reality: Biden celebrates win, while Trump claims 'rigged election'  Today’s Print Stories  e-Replica Edition  Share news tips with us confidentially  Washington Post Apps Politics Pa. attorney general says there’s no need for additional intervention by Supreme Court with mail ballots Reis Thebault Robert Barnes Hannah Knowles Top Republicans in Congress silent on Biden win Colby Itkowitz Derek Hawkins Josh Dawsey Winners and losers from the 2020 election — aside from the obvious Aaron Blake  Small shifts in small places made a big difference in Pennsylvania Griff Witte  Arizona’s political transformation began long before Biden was on the ballot Jose A. Del Real Hannah Knowles Trump’s heart doesn’t seem to be in it Aaron Blake ‘I’ve never been there before’: What Trump said about golf and his fear of losing Robert Costa Steven Ginsberg World  As Kamala Harris breaks barriers, India and Jamaica celebrate Joanna Slater  After Trump’s dramatic tilt toward Israel, Biden likely to restore traditional approach Steve Hendrix  Iran reacts cautiously to Biden presidency as diplomatic window of opportunity appears Louisa Loveluck  A U.S.-China detente under Biden? Beijing isn’t betting on it. Gerry Shih Eva Dou Mexico is poised to legalize marijuana, but advocates don’t like the details Marissa J. Lang Trump berated and baffled European allies. They aren’t sad to see him go. Michael Birnbaum Loveday Morris National  ‘Poor mummies’: Pandemic sidelines conservators and their care of such museum artifacts What public education advocates want to see in Biden’s pick to succeed Betsy DeVos Valerie Strauss He cast his first vote as a U.S. citizen. Now, he’s eager for the ‘Muslim ban’ to go.  Sarah Pulliam Bailey During an election week like no other, teachers helped students make sense of it all Joe Heim Hannah Natanson Valerie Strauss D.C., Md. & Va.  Impromptu celebrations pop up in D.C. following Biden victory announcement Marissa J. Lang Rebecca Tan Jessica Contrera Katie Mettler Emily Davies Joe Heim  Richmond’s mayor took down Confederate monuments this summer. That move may have vaulted him to another term in office. Gregory S. Schneider The most reassuring and troubling two words to accompany the election results: ‘The first’ Theresa Vargas  Arlington, Montgomery counties launch new effort in fight over jet noise from National Airport Lori Aratani Fairfax County removes Civil War monuments in front of its courthouse Antonio Olivo In ‘blink of an eye,’ Maryland grandparents are left raising slain daughter’s four children Capital Weather Gang D.C.-area forecast: Staying super nice until rain is likely to arrive midweek Known coronavirus deaths and cases Going Out Guide  A reopened Marcel’s reminds me that fine dining, especially now, is about more than food Tom Sietsema Pop-up greenhouses, yurts and reptile heat lamps: Restaurants are getting creative to survive the winter Fritz Hahn The best things to do — virtually and in person — while quarantined in the D.C. area Real Estate A Md. mansion with a quirky past, a commanding presence Distinguished homes for sale in the D.C. region 30-year mortgage rate, for the 12th time this year, falls to record low The Washington Post Magazine  How religion can help to heal our democracy  This photographer spent months documenting Congress and D.C. politics in the age of covid  ‘We have to understand the motivation for why people hate,’ says former neo-Nazi leader  These conservative artists are navigating a largely liberal field Maybe the past is only a phone call away Gene Weingarten These daters discussed their witch personas. Here’s where they are now. Weekend Business  The pandemic is amplifying tensions between working moms and child-free colleagues Karla L. Miller  This AI whiz could be the next Elon Musk or Steve Jobs, but first she has to navigate being 18 Taylor Telford  Virtual schooling has largely forced moms, not dads, to quit work. It will hurt the economy for years. Heather Long  Systemic racism, not $200 Air Jordans, suppresses Black wealth Michelle Singletary Health & Science  A Biden-Harris victory positions America for a 180-degree turn on climate change Juliet Eilperin Dino Grandoni Darryl Fears  Mariah App, an augmented reality program, reveals haunting link of Met’s Sackler Wing to opioid crisis  Why researchers are 100% sure we love round numbers  Alaska’s permafrost, which stores greenhouse gases, is less plentiful and more fragile than believed, study says Sports  Notre Dame knocks off top-ranked Clemson in a double-overtime thriller in South Bend Chuck Culpepper  College football winners and losers: Florida is fun again and Georgia is done  Maryland’s newcomers lead the way in stunning rout at Penn State Emily Giambalvo  NFL games on TV: Games will look different; Tom Brady vs. Drew Brees, Part 2 Cindy Boren  Washington football Week 9 preview: Trying to stop Daniel Jones as critical NFC East stretch begins Sam Fortier Bryson DeChambeau brings scientist’s brain, linebacker’s body to The Masters Barry Svrluga White Sox star Tim Anderson won’t alter his playing style for Tony La Russa Jake Russell Lifestyle  CNN was first. Within minutes, most other news organizations called the race for Biden Elahe Izadi  She is a former addict and prisoner. She was just elected to the state house in Washington.  Media can make or break a food business, but to some, it feels like a pay-to-play system Advice Carolyn Hax: The parent who has to be the ‘bad cop’ is feeling blue Ask Amy: Family members press for baby’s baptism Miss Manners: Quiet cul-de-sac becomes setting for night basketball camp The LilyElevating stories about women  Shocked by how close the presidential race is? Black Americans have known this bigotry all along.  Democrats are hailing Stacey Abrams for Biden’s lead in Georgia. Here’s how she pulled it off.

  For the first time, L.A.’s Board of Supervisors is made up of all women. It’s a big deal.  These moms fought for universal preschool in their Oregon county — and won Arts & Entertainment  Mark Morris Dance Group steps online for its 40th-anniversary season Anying Guo  At home, forever and ever, with Dean & Britta  Shakespeare wrote ‘King Lear’ during a plague. What great work will emerge from this pandemic? Peter Marks Trumpism is a lifestyle disease, chronic in America Philip Kennicott How cartoons are spoofing Trump’s heated reaction to the election results Michael Cavna FoodIncluding recipes and tips from Voraciously  Good wine is now being made in most parts of the country. Here’s how to find it. Dave McIntyre  Make fragrant, floral cardamom your spice of the season with these 6 recipes Kari Sonde  This one-pot riff on stuffed cabbage has all the flavors of the classic — in half the time Ellie Krieger  This golden, buttery triple-garlic bread is the dinner side that deserves to be a star Becky Krystal TravelIncluding news and tips from By The Way  A brief history of Disney’s polarizing Hall of Presidents Shannon McMahon  Ever want to jump into your screensaver? These are the destinations behind them. Ryan Bacic  Winter camping is not for the faint of heart. Here’s how to do it.  In Delaware, a new driving trail spotlights local artists and sites Andrea Sachs commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing Public Relations Careers Diversity & Inclusion Newspaper in Education Today's Paper WP BrandStudio Events Policies & Standards Home Delivery Digital Subscription Gift Subscriptions Mobile & Apps Newsletters & Alerts Washington Post Live Reprints & Permissions Post Store Books & eBooks e-Replica Contact the Newsroom Contact Customer Care Reader Representative Advertise Licensing & Syndication Request a Correction Send a News Tip Digital Products Terms of Sale Print Products Terms of Sale Terms of Service Privacy Policy Submissions & Discussion Policy RSS Terms of Service Ad Choices washingtonpost.com washingtonpost.com Contact the Newsroom Contact Customer Care Request a Correction Send a News Tip Download the Washington Post App Policies & Standards Terms of Service Privacy Policy Print Products Terms of Sale Digital Products Terms of Sale Submissions & Discussion Policy RSS Terms of Service Ad Choices"
CNBC,"Skip Navigation   Markets Pre-Markets U.S. Markets Currencies Cryptocurrency Futures & Commodities Bonds Funds & ETFs Business Economy Finance Health & Science Media Real Estate Energy Transportation Industrials Retail Wealth Life Small Business Investing Invest In You Personal Finance Fintech Financial Advisors Trading Nation Options Action ETF Street Buffett Archive Earnings Trader Talk Tech Cybersecurity Enterprise Internet Media Mobile Social Media Venture Capital Tech Guide Politics White House Policy Defense Congress 2020 Elections CNBC TV Live TV Live Audio Latest Video Top Video CEO Interviews Business Day Shows The News with Shepard Smith Entertainment Shows CNBC Documentaries CNBC World Digital Originals Full Episodes Watchlist PRO PRO News PRO Live Make It Select USA INTL SIGN IN  Markets Pre-Markets U.S. Markets Currencies Cryptocurrency Futures & Commodities Bonds Funds & ETFs Business Economy Finance Health & Science Media Real Estate Energy Transportation Industrials Retail Wealth Life Small Business Investing Invest In You Personal Finance Fintech Financial Advisors Trading Nation Options Action ETF Street Buffett Archive Earnings Trader Talk Tech Cybersecurity Enterprise Internet Media Mobile Social Media Venture Capital Tech Guide Politics White House Policy Defense Congress 2020 Elections CNBC TV Live TV Live Audio Latest Video Top Video CEO Interviews Business Day Shows The News with Shepard Smith Entertainment Shows CNBC Documentaries CNBC World Digital Originals Full Episodes Watchlist PRO PRO News PRO Live --------- --------- --------- --------- --------- S&P 500 closes flat, but posts best week since April even with election undecided Coronavirus latest Market 'breather'? Apple preorders Pot stock surge Election updates Building credit Watch CNBC Election live results: Biden team looks to transition — 'We can't simply go back to the way things were' Joe Biden in first speech as president-elect: 'Time to heal in America'  Trump refuses to accept election results, says it's 'far from over'  U.S. reports more than 126,000 coronavirus cases for second day, fourth straight record They lived paycheck to paycheck before the pandemic. Then their worst nightmare came true Live TV Live Audio  Automakers use virtual reality to develop for vehicles like the Hummer EV  ‘Huge relief’ and ‘Trumpism lives on’: World media reacts to Biden win  'Queer Eye's' Bobby Berk: Living paycheck to paycheck taught me to hustle  Families jump to private schools as coronavirus drags on  The book Silicon Valley guru Paul Graham is reading amid Covid-19  4 potential talking points at McDonald's investor meeting  Top analysts see a buying opportunity for stocks like Qualcomm & Humana  Solar stocks are a good bet even with a divided Congress, analysts say  Value investors lose out again post-election: 'No blue wave, rotation on hold'  Read Joe Biden's first speech as president-elect  Joe Biden, in his first speech as president-elect, urges unity: 'Time to heal in America'  Watch live: President-elect Joe Biden addresses the nation  Jeff Bezos, Bill Gates and other tech luminaries react to Biden's victory  World leaders congratulate Joe Biden on U.S. presidential election win  America reacts to Joe Biden winning the 2020 presidential election  President-elect Joe Biden to announce Covid task force on Monday  Joe Biden projected to win Nevada, adding to his victorious electoral vote tally  Kamala Harris is the first woman elected vice president  Trump refuses to accept election results, says it's 'far from over'  Joe Biden's projected win in Pennsylvania delivers him the presidency  Joe Biden is projected to defeat incumbent Donald Trump in the presidential election  Study: this type of workout can relieve anxiety — and you can do it at home  Cargo shipments of Botox and cheese replace passengers for starving airlines  A pandemic pet boom is shaking up the holiday gift list this year  U.S. reports more than 126,000 coronavirus cases for second day, fourth straight record as virus surges nationwide  Mark Cuban: This pitch 'always' results in 'the best deal' on 'Shark Tank'  How Carhartt became an American fashion icon  They lived paycheck to paycheck before Covid. Their worst nightmare came true  Buffett's Berkshire Hathaway bought back a record $9 billion in stock  Tesla, GM, Rivian, Lordstown and the electric pickup truck race  Market Movers Jeff Bezos, Bill Gates and other tech luminaries react to Biden's victory Annie Palmer  Annie Palmer ‘Mission impossible’, ‘huge relief’ and a ‘bittersweet victory’: World media reacts to Biden win  Natasha Turak  Natasha Turak Warren Buffett's Berkshire Hathaway bought back a record $9 billion in stock in the third quarter Fred Imbert  Fred Imbert President-elect Joe Biden to announce Covid task force on Monday Will Feuer  Will Feuer Joe Biden is projected to defeat incumbent Donald Trump in the presidential election Christina Wilkie Jacob Pramuk  Christina Wilkie Jacob Pramuk Kamala Harris makes history as the first woman elected vice president Lauren Feiner  Lauren Feiner Value investors lose out again post-election: 'No blue wave, rotation on hold' Yun Li  Yun Li  America reacts to Joe Biden winning the 2020 presidential election  'Welcome back America!' World congratulates Joe Biden on U.S. presidential election win Solar stocks are a good bet even with a divided Congress, analysts say Pippa Stevens  Pippa Stevens 4 potential talking points at McDonald's investor meeting Amelia Lucas  Amelia Lucas When he takes over as president, Biden will get a surprisingly strong jobs market Jeff Cox  Jeff Cox Wall Street's top analysts are betting on stocks like Qualcomm & Humana  McConnell and Pelosi are once again at odds over the size of a coronavirus stimulus package Jacob Pramuk  Jacob Pramuk In pandemic, cargo shipments of Botox and cheese replace passengers for starving airlines Leslie Josephs  Leslie Josephs Op-Ed: Why the U.S. election still could represent a triumph of American democracy Frederick Kempe  Frederick Kempe Pollsters face another reckoning this year, but the reasons could differ from 2016 Lauren Feiner  Lauren Feiner America's iconic retailers fight for survival as pandemic rages on Lauren Thomas  Lauren Thomas 'Suspended animation': Global media react to the long U.S. election wait Sam Meredith  Sam Meredith Rent is down 25% in some cities: This map shows where costs have dropped most during coronavirus Gabriel Cortés  Gabriel Cortés Live TV Live Audio  Markets Market MOVERS Latest Market News Wild 2020 is shaping up to be a surprisingly normal year for buy-and-hold investors Michael Santoli After sharp bounce, market may take a 'breather' on lingering election uncertainty, virus outbreak Patti Domm When he takes over as president, Biden will get a surprisingly strong jobs market Jeff Cox S&P 500 closes flat, but posts best week since April even with election undecided Fred Imbert Jesse Pound WATCH LIVE ALL VIDEOS Joe Biden projected to defeat incumbent Donald Trump in the presidential election: NBC News Watch Joe Biden's first speech to the nation as president-elect of the United States Kamala Harris addresses nation in first speech as vice president-elect Special Reports Here's the salary you need to make to get the maximum Social Security benefit possible  They lived paycheck to paycheck before the pandemic. Then their worst nightmare came true Jeff Bezos, Bill Gates and other tech luminaries react to Biden's victory Whole Foods CEO John Mackey: Store managers could be making 'well over $100,000,' without college 'Welcome back America!' World congratulates Joe Biden on U.S. presidential election win CNBC Select You have 1 day left to earn the Chase Sapphire Preferred Card's huge 80,000-point bonus Alexandria White You can earn more interest when you put your money in a CD—here are the different types offered Elizabeth Gravier You could boost your Fidelity investments by $19,312 in 20 years just by using this cash-back card Megan DeMatteo Here are 4 ways to build credit without a credit card Alexandria White 7 common banking fees and how to avoid them Elizabeth Gravier This free credit monitoring service lets you simulate how big decisions may impact your credit score Alexandria White The average millennial has $27,251 in non-mortgage debt—here's how they compare to other generations Megan DeMatteo The best brick-and-mortar savings account for U.S. Bank customers Elizabeth Gravier Investing Wall Street's top analysts are betting on stocks like Qualcomm & Humana Value investors lose out again post-election: 'No blue wave, rotation on hold' Yun Li Solar stocks are a good bet even with a divided Congress, analysts say Pippa Stevens Warren Buffett's Berkshire Hathaway bought back a record $9 billion in stock in the third quarter Fred Imbert Bill Miller sees 'a lot to buy out there,' especially the stock of this drugmaker Kevin Stankiewicz JPMorgan's Kolanovic says stocks have 'best of both worlds' post-election, will continue rallying Yun Li Here are Leon Cooperman's favorite ideas in the market right now Maggie Fitzgerald Here's one stock that could benefit from Apple's push for a cashless society Kif Leswing Business News Peloton says recent spike in Covid-19 cases, lockdowns are boosting sales Lauren Thomas Famed luxury carmaker Bentley to go fully electric by 2030 Michael Wayland Peloton shares fall despite earnings beat as bike maker warns of ongoing supply constraints Lauren Thomas No year without a Santa Claus, as malls turn to portable igloos to save the holiday tradition Lauren Thomas GM plans to increase pickup truck production with up to $1 billion investment in Canada Michael Wayland Automakers use virtual reality to cut the development time for vehicles like the Hummer EV Michael Wayland 4 potential talking points at McDonald's investor meeting Amelia Lucas President-elect Joe Biden to announce Covid task force on Monday Will Feuer Tech Joe Biden is projected to defeat incumbent Donald Trump in the presidential election Christina Wilkie Jeff Bezos, Bill Gates and other tech luminaries react to Biden's victory Annie Palmer Peter Thiel's Palantir is skyrocketing as Trump's prospects grow dim Ari Levy Amazon rolls out rewards program that makes it easier for drivers to get work Annie Palmer Toyota president: Tesla has 'not created a real business in the real world yet' Lora Kolodny The race between Detroit automakers and EV startups to dominate the electric pickup truck market Jeniece Pettitt Square stock soars as analysts applaud growth in Cash App  Kate Rooney Why Palantir co-founder Joe Lonsdale is leaving Silicon Valley Ari Levy Politics Joe Biden, in his first speech as president-elect, urges unity: 'Time to heal in America' Christina Wilkie Kamala Harris makes history as the first woman elected vice president Lauren Feiner Read Joe Biden's first speech as president-elect Lauren Feiner 'Welcome back America!' World congratulates Joe Biden on U.S. presidential election win Amanda Macias Joe Biden is projected to defeat incumbent Donald Trump in the presidential election Christina Wilkie Trump refuses to accept election results, says it's 'far from over' Kevin Breuninger Pollsters face another reckoning this year, but the reasons could differ from 2016 Lauren Feiner President-elect Joe Biden to announce Covid task force on Monday Will Feuer Personal Finance Families jump from public to private schools as coronavirus drags on Jessica Dickler They lived paycheck to paycheck before the pandemic. Then their worst nightmare came true Greg Iacurci Medicare Part B premiums will rise by 2.7% in 2021 Sarah O'Brien Jobless Americans are starting nonprofits and volunteering while out of work  Carmen Reinicke If you worked remotely due to Covid-19, a state tax surprise could be coming Darla Mercado, CFP® Here's a decade-by-decade guide to retirement planning Carla Fried Unemployment is falling. Long-term unemployment is ballooning Greg Iacurci The 5 companies with the most holiday job openings  Annie Nova Make It Kamala Harris, Cori Bush and others who made history in the 2020 election Courtney Connley How Stacey Abrams, LaTosha Brown and other Black women changed the course of the 2020 election Courtney Connley 'Queer Eye's' Bobby Berk: Living paycheck to paycheck taught me to hustle Cory Stieg  Living paycheck to paycheck made 'Queer Eye' star Bobby Berk a 'workaholic' Emma Fierberg Silicon Valley guru Paul Graham: This is the book I've been reading amid Covid-19 Taylor Locke This type of workout can relieve anxiety — and you can do it at home with no equipment Cory Stieg How to stay motivated to work out during the winter, according to exercise psychologists Mark Cuban: This kind of pitch 'always' results in 'the best deal' on 'Shark Tank' Taylor Locke Grow Joe Biden has won the election, NBC News projects: What his presidency could mean for your money Gili Malinsky Rent is down 25% in some cities: This map shows where costs have dropped most during coronavirus Gabriel Cortés The 5 most in-demand skills at America’s top start-ups, according to LinkedIn Shawn M. Carter 'Young people shouldn't reflexively avoid' this tax-friendly investment, expert says Ryan Ermey Election 2020: Markets hate uncertainty, but this week they rose anyway — here's why Euny Hong Markets set to have record week, and unemployment is down: The news and your money Aditi Shrikant Trade skills are in ‘constant need.' Here are 7 trade jobs, some of which pay more than $69,000 Gili Malinsky Markets rise on election progress, Senate to refocus on stimulus: The news and your money Shawn M. Carter CNBC Events  Subscribe to CNBC PRO Licensing & Reprints CNBC Councils Supply Chain Values CNBC on Peacock Advertise With Us Join the CNBC Panel Digital Products News Releases Closed Captioning Corrections About CNBC Internships Site Map Podcasts Ad Choices Careers Help Contact        Get In Touch Sign Up Now Privacy Policy Do Not Sell My Personal Information CA Notice Terms of Service A Division of NBCUniversal Market Data Terms of Use and Disclaimers "
