,2020-11-08 PM
NYT,"Continue reading the main story Skip to content Skip to site index  U.S. International Canada Español 中文 Today’s Paper    World U.S. Politics N.Y. Business Opinion Tech Science Health Sports Arts Books Style Food Travel Magazine T Magazine Real Estate Video World U.S. Politics N.Y. Business Opinion Tech Science Health Sports Arts Books Style Food Travel Magazine T Magazine Real Estate Video As Biden Plans for Day 1, G.O.P. Navigates Trump’s Refusal to Concede George W. Bush Congratulates Biden President-elect Joe Biden outlined his goals for his first day in the Oval Office, prioritizing Covid-19, economic recovery, racial equity and climate change.Republicans are split over whether to accept his victory. Advisers have warned President Trump of his narrow chances in any legal fight. Here’s the latest. Live .css-11f6h48{margin-right:5px;}.css-11f6h48:hover{border-bottom:1px solid #e2e2e2;}After tough House losses, Conor Lamb, a moderate, says he’s ‘frustrated’ by progressive rhetoric and policy proposals..css-m7dmkp{font-family:nyt-franklin,helvetica,arial,sans-serif;color:#d0021b;font-weight:600;font-size:0.75rem;line-height:0.8125rem;display:inline-block;}38m ago ‘In America, you get four years and you can do it again.’ Nebraska greets Biden win with a shrug.1h ago Jill Biden, the future first lady, is keeping her day job.1h ago Biden won her state, but her Uncle Sam protest costume isn’t going in storage.2h ago Live Updates Ariz. results ›  Read more ›  Read more ›  Read more ›  Read more ›  Read more ›  President    279    279  Joseph R. Biden Jr.Biden WinnerWinner    214  Donald J. TrumpTrump    45  remaining     270to win                 Joseph R. Biden Jr.Biden Winner     Donald J. TrumpTrump      75,383,381 votes (50.5%)   71,108,784 votes (47.7%)    214    Senate    48    48  DemocratsDem.*   Gained 1 seat+1 seat    48  RepublicansRep.   Lost 1 seat–1 seat    4  remaining     50                 DemocratsDem.*   Gained 1 seat+1 seat     RepublicansRep.   Lost 1 seat-1 seat      35 DemocratsDem. not up for election   30 RepublicansRep. not up for election     Gained 1 seat+1 seat   Lost 1 seat—1 seat     Flipped 2 seats (+1 net gain)   Flipped 1 seat    48    House    216    216  DemocratsDem.   Lost 4 seats–4 seats    196  RepublicansRep.   Gained 5 seats+5 seats    23  remaining     218for control                 DemocratsDem.   Lost 4 seats-4 seats     RepublicansRep.   Gained 5 seats+5 seats      Lost 4 seats—4 seats   Gained 5 seats+5 seats     71,229,917 votes (50.0%)   69,286,963 votes (48.6%)     Flipped 3 seats   Flipped 8 seats (+5 net gain)    196     279    279  Joseph R. Biden Jr.Biden WinnerWinner    214  Donald J. TrumpTrump    45  remaining     270to win                 Joseph R. Biden Jr.Biden Winner     Donald J. TrumpTrump      75,383,381 votes (50.5%)   71,108,784 votes (47.7%)    214       See full presidential results       the sort of large-scale stimulus some economists have urged may be off the table. Why Georgia Is Turning an Extraordinary Shade of Blue Joe Biden has a narrow lead in Georgia	 and two runoffs there will determine control of the Senate. Are the Democrats’ gains an aberration or a shift? Conor Lamb	 House Moderate	 on the Future of the Democrats Mr. Lamb	 who survived a Republican challenge in Pennsylvania	 says that a backlash to progressive policies risks his party’s House majority. As a Bitter Election Ends	 26 Americans Look to the Future We asked voters about their hopes for the next four years — regardless of the occupant in the White House.  A Nation Votes for Joe Biden	 and a Red State Shrugs Nebraska delivered one electoral vote for Mr. Biden	 but the rest of the rural state is deeply red	 and mostly accepting of the election results. Christian Conservatives Respond to Trump’s Loss and Look Ahead Many reflected on how much they had gained in the last four years under the Trump administration. For 9 of 10 Voters	 Protests Over Police Violence Played Role in Their Choice About a fifth of all voters said the protests were the single most important factor in their decision at the ballot box	 according to a new survey. What’s Next for Trump? Family Business Awaits His Return President Trump has long complained that public office cost him billions. Now he faces the challenge of jump-starting the company that bears his name. European Leaders Laud Biden but Wonder What He May Ask of Them Allies welcomed an American president who sees them as allies	 not rivals. But with the U.S. so polarized	 they are also wary. Vladimir Putin Is Mum on Biden’s Victory	 Foreshadowing Tense Years Ahead Early signs indicate that Russia’s leader is preparing for a deeply adversarial relationship with the next U.S. president. Here’s an overview of Joe Biden’s positions on coronavirus	 health care	 the economy	 taxes and climate change. U.S. Surpasses 10 Million Coronavirus CasesThe country struggled to contain the third wave of infection	 with the latest million cases added in just 10 days. Here’s the latest. Covid Infections in Animals Prompt Scientific ConcernMink in Denmark are not the only animals that could become reservoirs for the coronavirus to spread new mutations to people. An Explanation for Some Covid-19 Deaths May Not Be Holding UpRecent studies have created doubts about a type of immune system response	 suggesting that treatments for it may not help. The Affordable Care Act Faces Another Supreme Court Test Though the court’s conservative majority has been bolstered by three Trump appointees	 the law’s challengers will face headwinds. Alex Trebek	 Longtime Host of ‘Jeopardy!	’ Dies at 80A good host	 he once said	 could set his ego aside and let contestants be all they could be. But he let them know when he thought they missed easy answers. Alex Trebek in 2010 on the set of “Jeopardy!” Amanda Edwards/Getty Images O Captain	 My ‘Jeopardy!’ CaptainWhen Alex Trebek stepped up to the answer board	 night after night	 class was in session	 James Poniewozik writes. “We have no idea what the show is going to be without him.” Fans mourned the loss of Alex Trebek. Alex Trebek in 2010 on the set of “Jeopardy!” Amanda Edwards/Getty Images Women Who WallopWatching actresses take on action roles has Manohla Dargis reconsidering representation. And if you’re feeling adventurous	 stream these heist films. Actresses like Gal Gadot	 top	 and Melissa McCarthy are demolishing stereotypes about women’s roles onscreen. From top: Warner Bros.; Larry Horricks/20th Century Fox; Claudette Barius/Warner Bros.; Aimee Spinks/Netflix Choosing the right apples can modernize a Thanksgiving classic. If restaurants close	 what happens to cities? Opinion Charles M. BlowThird Term of the Obama PresidencyJoe Biden represents a move back to normalcy	 but progressives will push for change.  Liz MairOne Group Is Unreservedly Happy About the Election ResultsLibertarians are pleased to have likely dodged the bullet of one-party government control. Erin Aubry KaplanBlack Empowerment Outside the Headlines Maureen DowdWe Hereby Dump Trump Stephen I. VladeckElections Don’t Have to Be So Chaotic and Excruciating Ken JenningsWhat Alex Trebek Was Really Like The Editorial BoardJoe Biden Is Our Next President. Breathe. Ross DouthatIs There a Trumpism After Trump? Brent StaplesA Black Hero in the Jim Crow Navy Phil KlayThe Human Experience Will Not Be Quantified Oliver BurkemanWhy You Should Brave the ‘Bad’ Weather The Great ReadWhen the Virus Came for the American Dream Buford Highway	 in suburban Atlanta	 has long been a place where immigrant entrepreneurs could build businesses and get ahead. Not this year.  Cardi B’s ‘WAP’ Proves Censorship Is Good BusinessIts success highlighted a dirty little secret: Making clean versions of explicit songs means taking advantage of every possible revenue stream.  Review: ‘How to Make a Slave’ Offers Restless Thoughts About RaceIn the book	 a finalist for a National Book Award	 Jerald Walker writes that racism is “the great American disease with which we are all afflicted.”  Continue reading the main story Let us know what you think © 2020 The New York Times Company NYTCo Contact Us Work with us Advertise T Brand Studio Your Ad Choices Privacy Policy Terms of Service Terms of Sale Site Map Canada International Help Subscriptions"""
WaPo,"Skip to main content Election 2020 Coronavirus Race & Reckoning Road to Recovery Opinions Investigations Tech World D.C., Md. & Va. Sports Arts & Entertainment Democracy Dies in Darkness Election 2020 Biden presents starkly different vision for governing, vows to seek unity LIVE UPDATESAccess to these updates is free President-elect focuses on transition, says tackling the coronavirus is his first priority 7:21PMFor Biden fans, one unifying standard: Old Glory  6:45PMLame-duck Congress and lame-duck president face huge challenges in coming weeks  5:35PMAbigail Spanberger wins reelection in Virginia’s 7th District  4:04PMTrump campaign aide tweets, deletes images of headquarters plastered with fake ‘PRESIDENT GORE’ front page 3:37PMDemocrats projected to keep control of the House  Democrats won the White House and lost a myth about turnout David Weigel Lame-duck Congress and lame-duck president face huge challenges in coming weeks Erica Werner Paul Kane Yasmeen Abutaleb  For Biden fans, one unifying standard: Old Glory Annie Linskey  Trump’s presidential dream began on a gold escalator. It may have ended at Four Seasons Total Landscaping. Dan Zak Karen Heller Trump, a president obsessed with winning, spent Saturday refusing to admit his loss to Biden Even in defeat, the embers of Trumpism still burn in the Republican Party Robert Costa Philip Rucker Josh Dawsey Trump continues to defy election results as world and some in GOP begin to move on Toluse Olorunnipa Ashley Parker Josh Dawsey ‘Good news’: America’s allies celebrate Biden win, hope for more cooperative relations Paul Schemm Adam Taylor  Kamala Harris made history with quiet, exquisite power Robin Givhan States to watchHere’s where the results stand in key states and our estimates of the ballots counted so far. View details. Press Enter to skip to end of carousel Arizona Full Ariz. results → Georgia Full Ga. results → Pennsylvania Full Pa. results → Nevada Full Nev. results → North Carolina Full N.C. results → Alaska Full Alaska results → After Biden win, parties gird for ferocious Senate runoff in Georgia Sean Sullivan Annie Linskey Chelsea Janes The world’s populists are losing their White House ally, but global Trumpism is far from over Anthony Faiola Terrence McCoy Loveday Morris  Voices from the fight: An oral history of the four-year movement to defeat Donald Trump Philip Rucker Dan Balz Robert Costa Amy B Wang Cleve R. Wootson Jr.  How Georgia became a swing state for the first time in decades Kevin Schaul Harry Stevens Dan Keating  Trump’s refusal to concede defies long tradition Gillian Brockell Trump’s erratic behavior and failure on coronavirus doomed his reelection Ashley Parker Josh Dawsey Matt Viser Michael Scherer The media never fully learned how to cover Trump. But they still might have saved democracy. Margaret Sullivan D.C. airfare, hotel rates for the Jan. 20 inauguration are already going up  Keith L. Alexander Opinions  The transition process is too important to be left to Trump’s whims  Colbert I. King  Biden must put down the monster that is Trumpism Paul Butler  Don’t define Biden’s victory down E.J. Dionne Jr.  Democratic leaders play a ridiculous blame game with progressives James Downie  Working people delivered Biden his victory. Now he needs to deliver for them.  Tuesday proved that racial groups don’t vote as a bloc — with one exception  How Biden will begin to repair Trump’s damage to our world standing Jackson Diehl  How President-elect Biden and Congress can turn division into opportunity Editorial Board  In the dumbest and darkest of times, Alex Trebek maintained a safe space for intelligence Hank Stuever Alex Trebek, ‘Jeopardy!’ host for three decades, dies at 80 Fans share their favorite Trebek and ‘Jeopardy!’ moments Tropical Storm Eta nears Florida with flood threat, hurricane warnings Matthew Cappucci Andrew Freedman New York Times correspondent and editor dies at 98 Harrison Smith Coronavirus Record-breaking wave of coronavirus cases continues to sweep the nation Robert Barnes  New York’s block-by-block lockdowns are curbing covid-19. But residents aren’t pleased. Ben Guarino White House hit with fresh outbreak of coronavirus cases Anne Gearan Josh Dawsey  Biden’s ambitious plans to curb the coronavirus could face hurdles in a divided country and Congress Yasmeen Abutaleb Laurie McGinley Guide to the Pandemic Places with highest daily reported cases per capitaSeven-day average of daily new reported cases per 100,000 residents Track the spread: Across the U.S. Worldwide Road to Recovery Virtual schooling has largely forced moms, not dads, to quit work. It will hurt the economy for years. Heather Long Shakespeare wrote ‘King Lear’ during a plague. What great work will emerge from this pandemic? Peter Marks A beach bar on the Florida-Alabama border reclaims its Mullet Toss — masks optional Hannah Denham Your Life at Home Mark Morris Dance Group steps online for its 40th-anniversary season Anying Guo How loving kindness meditation can help you deal with even the most annoying people Ever want to jump into your screensaver? These are the destinations behind them. Ryan Bacic  Full coverage and resources  Asked and answered: What to know about coronavirus  FAQ: What to know about masks and covid-19  Sign up to get our Coronavirus Updates newsletter  After the 2016 election, Agnes Martin's paintings gave me solace. This time, they're still an escape. Kelsey Ables  In HBO’s sordid but watchable ‘Industry,’ the world now belongs to the zuppies Hank Stuever  This vegan Bolognese is full of familiar, comforting flavors Joe Yonan  Jet packs, virtual reality and hoverboards: How today’s tech stacks up to sci-fi and fantasy marvels SNL vs. reality: Biden celebrates win, while Trump claims 'rigged election'  Today’s Print Stories  e-Replica Edition  Share news tips with us confidentially  Washington Post Apps Politics Trump’s bid to discredit election raises fear that he will undermine a smooth transfer of power David Nakamura Trump’s heart doesn’t seem to be in it Aaron Blake Winners and losers from the 2020 election — aside from the obvious Aaron Blake  Celebrations erupt across U.S. as Biden declared winner of presidency  Darrell Issa, one of Democrats’ chief antagonists, is heading back to Congress Felicia Sonmez Pa. attorney general says there’s no need for additional intervention by Supreme Court with mail ballots Reis Thebault Robert Barnes Hannah Knowles Biden picked up the weight of the presidency, and much of the nation set down its burdens Robin Givhan World A U.S.-China detente under Biden? Beijing isn’t betting on it. Gerry Shih Eva Dou  After Trump’s dramatic tilt toward Israel, Biden likely to restore traditional approach Steve Hendrix  Iran reacts cautiously to Biden presidency as diplomatic window of opportunity appears Louisa Loveluck  Mexico is poised to legalize marijuana, but advocates don’t like the details Marissa J. Lang Trump berated and baffled European allies. They aren’t sad to see him go. Michael Birnbaum Loveday Morris As Kamala Harris breaks barriers, India and Jamaica celebrate Joanna Slater National Out with DeVos: Biden plans reversals on education  Laura Meckler Danielle Douglas-Gabriel Valerie Strauss  What public education advocates want to see in Biden’s pick to succeed Betsy DeVos Valerie Strauss  In medical schools, students seek robust and mandatory anti-racist training The Affordable Care Act returns to the Supreme Court in the shadow of a pandemic Amy Goldstein Small shifts in small places made a big difference in Pennsylvania Griff Witte D.C., Md. & Va.  Biden presidency a relief for heavily Democratic Washington region Robert McCartney  Lynchburg goes blue for president for the first time since voting for Harry Truman in 1948 Laura Vozzella Susan Svrluga  Bank gives Purple Line firms more time to reach a settlement with Md., avoid potential default on debt Katherine Shaver Peer coaches work to address covid-19, other health disparities in Baltimore Fairfax County removes Civil War monuments in front of its courthouse Antonio Olivo In ‘blink of an eye,’ Maryland grandparents are left raising slain daughter’s four children Capital Weather Gang PM Update: Warm, stagnant air continues into tomorrow Known coronavirus deaths and cases Going Out Guide  A reopened Marcel’s reminds me that fine dining, especially now, is about more than food Tom Sietsema Pop-up greenhouses, yurts and reptile heat lamps: Restaurants are getting creative to survive the winter Fritz Hahn The best things to do — virtually and in person — while quarantined in the D.C. area Real Estate A Md. mansion with a quirky past, a commanding presence Distinguished homes for sale in the D.C. region 30-year mortgage rate, for the 12th time this year, falls to record low Business & Technology  This AI whiz could be the next Elon Musk or Steve Jobs, but first she has to navigate being 18 Taylor Telford Road to Recovery Virtual schooling has largely forced moms, not dads, to quit work. It will hurt the economy for years. Heather Long Systemic racism, not $200 Air Jordans, suppresses Black wealth Michelle Singletary Health & Science  A Biden-Harris victory positions America for a 180-degree turn on climate change Juliet Eilperin Dino Grandoni Darryl Fears  Mariah App, an augmented reality program, reveals haunting link of Met’s Sackler Wing to opioid crisis  Why researchers are 100% sure we love round numbers  Alaska’s permafrost, which stores greenhouse gases, is less plentiful and more fragile than believed, study says Sports  LIVE UPDATES NFL Week 9: Chiefs improve to 8-1; Josh Allen outduels Russell Wilson 7:53PMTua Tagovailoa, Dolphins edge Cardinals 7:49PMSteelers hold on late against Garrett Gilbert, Cowboys for first-ever 8-0 start  Another tough loss has Washington at 2-6, but it’s too soon to give up on NFC East title hopes Les Carpenter  Washington loses Kyle Allen to injury, and Alex Smith’s comeback bid against Giants falls short Nicki Jhabvala  NFL considers plan to reward teams that develop minority head coaches, general managers Mark Maske College football winners and losers: Florida is fun again and Georgia is done Bryson DeChambeau brings scientist’s brain, linebacker’s body to The Masters Barry Svrluga Lifestyle  CNN was first. Within minutes, most other news organizations called the race for Biden Elahe Izadi  She is a former addict and prisoner. She was just elected to the state house in Washington.  How loving kindness meditation can help you deal with even the most annoying people Advice Carolyn Hax: The parent who has to be the ‘bad cop’ is feeling blue Ask Amy: Family members press for baby’s baptism Miss Manners: Quiet cul-de-sac becomes setting for night basketball camp The LilyElevating stories about women  Shocked by how close the presidential race is? Black Americans have known this bigotry all along.  Democrats are hailing Stacey Abrams for Biden’s lead in Georgia. Here’s how she pulled it off.

  For the first time, L.A.’s Board of Supervisors is made up of all women. It’s a big deal.  These moms fought for universal preschool in their Oregon county — and won Arts & Entertainment  SNL gleefully slams ‘loser’ Trump’s defeat and celebrates Biden’s victory Emily Yahr  At home, forever and ever, with Dean & Britta  Shakespeare wrote ‘King Lear’ during a plague. What great work will emerge from this pandemic? Peter Marks Trumpism is a lifestyle disease, chronic in America Philip Kennicott How cartoons are spoofing Trump’s heated reaction to the election results Michael Cavna FoodIncluding recipes and tips from Voraciously  6 squash soup and stew recipes for a big pot of comfort Becky Krystal  Good wine is now being made in most parts of the country. Here’s how to find it. Dave McIntyre  This one-pot riff on stuffed cabbage has all the flavors of the classic — in half the time Ellie Krieger  This golden, buttery triple-garlic bread is the dinner side that deserves to be a star Becky Krystal TravelIncluding news and tips from By The Way  A brief history of Disney’s polarizing Hall of Presidents Shannon McMahon  Ever want to jump into your screensaver? These are the destinations behind them. Ryan Bacic  Winter camping is not for the faint of heart. Here’s how to do it.  In Delaware, a new driving trail spotlights local artists and sites Andrea Sachs commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing commentComics crosswordCrosswords mahjonggMah Jongg sudokuSudoku wordwipeWordwipe horoscopesHoroscopes solitaireSolitaire tvlistingsTV Listing Public Relations Careers Diversity & Inclusion Newspaper in Education Today's Paper WP BrandStudio Events Policies & Standards Home Delivery Digital Subscription Gift Subscriptions Mobile & Apps Newsletters & Alerts Washington Post Live Reprints & Permissions Post Store Books & eBooks e-Replica Contact the Newsroom Contact Customer Care Reader Representative Advertise Licensing & Syndication Request a Correction Send a News Tip Digital Products Terms of Sale Print Products Terms of Sale Terms of Service Privacy Policy Submissions & Discussion Policy RSS Terms of Service Ad Choices washingtonpost.com washingtonpost.com Contact the Newsroom Contact Customer Care Request a Correction Send a News Tip Download the Washington Post App Policies & Standards Terms of Service Privacy Policy Print Products Terms of Sale Digital Products Terms of Sale Submissions & Discussion Policy RSS Terms of Service Ad Choices"
